Forms,Order,Subgenus ,Plasmodium species,OrderHost,GenHost,Host,Specific Host ,Average,Lower,Upper,Duration,Sources,DOI,Meront,Nuclei,Include
Phasianidae,1,Giovannolaia,formosanum,avian,avian,phesants,"Arborophila crudigularis, A. gingica, Amaurornis phoenicurus",10,5,16,48,Avian Malarial Parasites and Other Haemosporidia,NA,Yes,No,
Cortophanidae,92,Sauramoeba,achiotense,reptile,lizard,basilisk,Basiliscus basiliscus,46,36,56,NA,Hemoparasites of the Reptilia,NA,Yes,No,
Chamaeleonidae,55,Lacertamoeba,acuminatum,reptile,lizard,iguana,Kinyongia fischeri,7,6,9,NA,Hemoparasites of the Reptilia,NA,Yes,Yes,
Scincidae,19,Sauramoeba,adunyinkai,reptile,lizard,skink,Trachylepis striata,16,10,19,NA,Saurian malaria in Kenya: Description of ten new species from West Pokot District,https://doi.org/10.1017/S1742758400003672,No ,No,
Muridae,36,Vinckeia,aegyptensis,mammal,rodent,rodent,Arvicanthis niloticus ,6,4,8,NA,Description de Plasmodium aegyptensis n. sp. parasite présumé du Muridé Arvicanthis niloticus en Haute-Égypte,https://doi.org/10.1051/parasite/1975504419,No,No,
Agamidae,63,Sauramoeba,agamae,reptile,lizard,lizard,"Agama agama, Acanthocercus atricollis, Agame hispada aculeata",8,4,15,NA,Hemoparasites of the Reptilia,NA,Yes,No,
Phasianidae,2,Giovannolaia,lophurae,avian,avian,phesants,"Lophura ignite igniti,L. erythropthalma,Geopelia striata, Meleagris
gallopavo",13,8,18,24 (36),Avian Malarial Parasites and Other Haemosporidia,NA,Yes,No,
Phasianidae,3,Giovannolaia,pedioecetae,avian,avian,phesants,"Tympanuchus (=Pedioecetes) phasianellus,T.  phasianellus, Alectoris chukar, Centrocercus urophasianus, Colinus virginianus, Coturnix coturnix, Dendragapus obscurus, Callipepla gambelii, Nothura darwinii,  Oreortyx picta, Perdix perdix, Serinus canaria
T. cupido",10,8,22,NA,Avian Malarial Parasites and Other Haemosporidia,NA,Yes,No,
Phasianidae,4,Giovannolaia,durae,avian,avian,turkey,"Meleagris gallopavo, Pternistis leucoscepus, Scleroptila levaillantii, Pternistis swainsonii,Numida meleagris, Pavo cristatus,  P. cristatus",10,4,14,24,Avian Malarial Parasites and Other Haemosporidia,NA,Yes,No,
Phasianidae,5,Haemamoeba,griffithsi,avian,avian,turkey,Meleagris gallopavo,18,16,20,NA,Avian Malarial Parasites and Other Haemosporidia,NA,Yes,No,
Anomaluridae,33,Vinckeia,anomaluri,mammal,rodent,rodent,Anomalurus derbianus,8,NA,NA,NA,Two New Malaria Parasites from East African Vertebrates,https://doi.org/10.1016/0035-9203(60)90085-7,No,No,
Phasianidae,6,Huffia,hermani,avian,avian,turkey,"Meleagris gallopavo, Colinus virginianus",10,6,14,NA,Avian Malarial Parasites and Other Haemosporidia,NA,Yes,No,
Chamaeleonidae,59,Lacertamoeba,arachniformis,reptile,lizard,chameleon,Trioceros werneri,8,4,12,NA,Hemoparasites of the Reptilia,NA,Yes,No,
Phasianidae,7,Novyella,kempi,avian,avian,turkey,Meleagris gallopavo,6,4,8,NA,Avian Malarial Parasites and Other Haemosporidia,NA,Yes,No,
Hystricidae,32,Vinckeia,atheruri,mammal,rodent,porcupine,Atherurus africanus,10,8,16,24,Malaria Parasites and Other Haemosporidia; [Studies on Plasmodium atheruri],NA; https://doi.org/10.1051/parasite/1983586523,No,No,
Teiidae,37,Carinamoeba,attenuatum,reptile,lizard,chameleon,Ameiva ameiva; Ameiva ameiva praesignis,5,3,8,NA,Hemoparasites of the Reptilia,NA,Yes ,No,
Tropiduridae,75,Garnia,audaciosa,reptile,lizard,iguana,Plica umbra,100,50,150,NA,Hemoparasites of the Reptilia,NA,Yes,No,
Varanidae,51,Carinamoeba,auffenbergi,reptile,lizard,monitorlizard,Varanus olivaceus,3,2,5,NA,Hemoparasites of the Reptilia,NA; https://doi.org/10.1051/parasite/1983586523,Yes,No,
Phyllodactylidae,4,Lacertamoeba ,aurulentum,reptile,lizard,gecko,Thecadactylus rapicaudus,14,6,22,NA,Hemoparasites of the Reptilia,NA,Yes,No,
Agamidae,62,Sauramoeba ,australis,reptile,lizard,lizard,Pogona barbata ,35,22,49,NA,Hemoparasites of the Reptilia,NA,Yes,No,
Dactyloidae,96,Garnia,azurophilum,reptile,lizard,lizard,"Anolis cybotes, A. distichus, A. chlorocyanus, Anolis bahorucoensis, A.lineatopus, A.grahami,    A. krugi, A.acutus,  A. gundlachi, A.evermanni, A.stratulus, A. cristatellus,  A. schwartzi,  A. oculatus,  A. abanus, A. marmoratus,  A. bimaculatus,  A.trinitatis,  A. richardii, A. roquet ",28,8,46,NA,Hemoparasites of the Reptilia,NA,No ,No,
